permutacion_inicial,ruta_final
"[6, 27, 16, 17, 9, 68, 46, 55, 11, 40, 66, 36, 45, 30, 62, 52, 51, 24, 33, 50, 67, 39, 61, 65, 70, 32, 44, 49, 20, 72, 71, 34, 7, 43, 26, 19, 31, 42, 28, 23, 13, 18, 59, 35, 53, 22, 2, 37, 56, 14, 69, 25, 1, 8, 21, 75, 73, 57, 58, 63, 47, 15, 5, 29, 48, 74, 41, 10, 12, 64, 38, 3, 4, 60, 54]","[[6, 68], [12, 72, 9, 39, 58], [50, 18, 40, 17], [8, 54, 13, 19, 52], [49, 24, 56, 23], [67, 26, 75], [16, 3, 32, 44, 51, 61, 69, 71, 60, 70], [1, 22, 62, 64, 42, 41, 43, 63], [35, 59, 14, 53], [2, 28, 73, 33], [10, 31, 25, 55], [48, 36, 20, 37, 29, 45], [27, 57, 15, 5, 47, 21, 74, 30], [11, 66, 65, 38, 7], [4, 34, 46]]"
"[64, 52, 19, 5, 10, 42, 6, 32, 8, 28, 15, 7, 50, 22, 35, 39, 48, 49, 56, 72, 61, 4, 36, 66, 3, 63, 41, 55, 40, 33, 37, 43, 59, 60, 18, 30, 20, 62, 68, 73, 21, 12, 75, 46, 51, 67, 27, 44, 11, 25, 74, 53, 69, 71, 13, 16, 29, 47, 31, 2, 1, 17, 23, 9, 38, 65, 54, 57, 24, 26, 14, 70, 45, 58, 34]","[[46, 8, 19, 35], [10, 31, 72, 12], [68, 30, 45, 29, 50, 18, 55, 25], [16, 49, 24, 3], [5, 37, 70, 20], [51, 63, 43, 23, 56, 33, 1, 73], [40, 17], [22, 61, 69, 28, 42, 41, 64, 62], [67, 34, 52, 27, 4], [7, 38, 66, 65, 59, 60, 71, 36], [48, 21, 47, 74, 2, 6], [32, 44, 9, 39, 58, 54, 13], [53, 11, 14, 57, 15], [26, 75]]"
"[3, 39, 42, 9, 32, 60, 51, 2, 74, 43, 26, 64, 49, 1, 66, 58, 36, 31, 34, 35, 8, 37, 44, 4, 73, 75, 69, 65, 10, 20, 53, 45, 15, 46, 19, 52, 5, 67, 25, 55, 48, 12, 16, 40, 30, 24, 70, 6, 56, 50, 11, 27, 38, 23, 62, 18, 59, 7, 14, 57, 28, 71, 17, 21, 72, 68, 54, 63, 33, 22, 41, 61, 13, 47, 29]","[[12, 39, 72, 58, 67], [60, 70, 71, 36, 47, 48], [16, 56, 23, 37, 20, 5], [35, 53, 14, 59, 66, 65], [46, 8, 54, 19], [38, 10, 11, 7], [27, 15, 57, 13, 52, 34], [9, 25, 55, 31], [51, 44, 3, 49, 24], [17, 32, 18, 50, 40, 26], [6, 33, 62, 73], [4, 45, 29, 30, 68, 75], [1, 43, 22, 28, 2], [63, 41, 42, 64, 61, 69, 21, 74]]"
"[51, 66, 74, 27, 3, 71, 72, 52, 41, 15, 47, 33, 64, 29, 67, 53, 30, 34, 19, 37, 62, 17, 25, 31, 40, 14, 55, 35, 46, 13, 32, 44, 68, 65, 26, 23, 7, 24, 16, 8, 42, 59, 21, 10, 60, 63, 45, 69, 20, 56, 6, 58, 48, 5, 57, 38, 49, 75, 12, 36, 28, 22, 73, 1, 70, 39, 18, 9, 2, 50, 4, 11, 61, 54, 43]","[[68, 74, 21, 69, 36, 71], [75, 45, 29, 48, 47, 61, 22, 1], [12, 72, 58, 19, 54, 27, 4], [9, 18, 50, 32], [38, 11, 53, 35, 7], [40, 44, 3], [63, 56, 23, 49, 24, 16], [41, 64, 42, 43, 33], [26, 67, 34, 37, 20, 70, 60], [30, 5, 15, 57, 13, 52, 46], [6, 2, 28, 62, 73, 51, 17], [39, 25, 55, 10, 31], [65, 66, 59, 14, 8]]"
"[47, 72, 59, 65, 74, 12, 60, 7, 37, 2, 24, 42, 19, 45, 35, 15, 70, 64, 23, 21, 30, 41, 27, 9, 63, 28, 16, 26, 38, 52, 56, 18, 55, 53, 48, 1, 20, 51, 31, 13, 46, 11, 39, 71, 58, 36, 67, 69, 5, 66, 32, 34, 10, 43, 49, 40, 75, 25, 62, 50, 61, 73, 14, 17, 54, 4, 8, 68, 29, 22, 57, 3, 33, 6, 44]","[[72, 38, 66, 65, 10, 58], [61, 69, 64, 42, 41, 1], [4, 75], [37, 20, 70, 71, 60, 36, 47, 21], [39, 9, 16, 33, 68], [67, 46, 34], [31, 25, 55, 18, 73, 28, 74], [52, 8, 35, 53, 11, 7], [40, 12], [27, 13, 54, 19, 59, 14], [32, 50, 24, 49, 3, 44], [2, 62, 22, 43, 23, 56, 63], [30, 45, 29, 57, 15, 5, 48], [26, 17, 51, 6]]"
"[9, 14, 31, 62, 65, 73, 33, 58, 51, 13, 39, 71, 45, 75, 67, 37, 4, 19, 68, 63, 18, 16, 6, 27, 72, 20, 49, 22, 11, 52, 60, 15, 17, 47, 43, 69, 53, 44, 3, 61, 28, 46, 12, 74, 66, 2, 34, 38, 59, 26, 41, 24, 30, 29, 42, 64, 35, 7, 55, 1, 21, 50, 70, 40, 54, 23, 25, 36, 32, 57, 56, 10, 5, 8, 48]","[[9, 25, 31, 40], [33, 73, 1, 22, 62, 2, 68], [75, 4, 34, 46, 8, 35, 7], [44, 55, 18, 50, 3, 39, 72, 58, 12, 51], [67, 52, 13, 54, 19], [36, 60, 69, 71, 21, 61, 28, 6], [14, 59, 11, 53], [66, 65, 38, 10, 26], [23, 56, 41, 43, 42, 64], [45, 27, 29, 30, 74, 47, 48], [17, 63, 16, 49, 24, 32], [57, 15, 20, 70, 37, 5]]"
"[46, 61, 58, 27, 42, 21, 51, 72, 25, 52, 8, 37, 10, 1, 32, 17, 55, 66, 57, 50, 41, 40, 5, 62, 30, 44, 24, 36, 71, 18, 74, 20, 69, 26, 22, 53, 70, 3, 38, 73, 33, 60, 29, 4, 35, 43, 45, 11, 34, 23, 16, 9, 7, 54, 13, 28, 19, 49, 65, 56, 12, 63, 64, 48, 68, 47, 31, 59, 2, 39, 75, 14, 15, 6, 67]","[[34, 46], [52, 27, 45, 4, 68, 50, 18], [35, 19, 14, 8], [40, 9, 25, 55, 31, 10], [26, 12, 17], [6, 51, 3, 44, 24, 49, 16], [30, 21, 47, 5, 48], [60, 71, 70, 20, 37], [1, 43, 22, 28, 74, 75], [33, 73, 62, 2], [23, 56, 32, 39, 72, 58, 67], [7, 38, 65], [63, 41, 42, 64, 61, 69, 36], [66, 59, 11, 53], [29, 57, 15, 54, 13]]"
"[54, 56, 35, 34, 38, 8, 24, 57, 66, 44, 59, 36, 29, 13, 61, 26, 30, 65, 73, 2, 39, 15, 47, 53, 33, 41, 17, 60, 1, 7, 5, 3, 72, 11, 12, 28, 48, 52, 40, 75, 32, 71, 19, 18, 67, 68, 43, 37, 4, 51, 23, 46, 6, 49, 69, 55, 64, 42, 27, 20, 14, 45, 58, 50, 22, 25, 74, 16, 9, 31, 70, 21, 63, 62, 10]","[[53, 14, 59, 35, 46, 34], [72, 39, 9, 40], [8, 19, 54, 13, 27, 52], [28, 62, 73, 2, 57, 15, 37, 5], [33, 41, 56, 43, 1], [7, 38, 66, 65, 11, 12], [30, 45, 29, 4], [51, 24, 49, 23, 63, 16], [68, 6, 26, 67, 75, 17], [70, 60, 71, 20], [22, 64, 42, 61, 69, 36, 47], [44, 50, 18, 3], [32, 25, 55, 31], [48, 21, 74, 58, 10]]"
"[28, 52, 12, 10, 41, 1, 16, 66, 3, 18, 2, 68, 5, 23, 22, 39, 59, 44, 73, 47, 29, 35, 46, 13, 49, 8, 70, 64, 19, 69, 38, 37, 75, 58, 71, 62, 65, 61, 43, 40, 30, 20, 48, 31, 53, 11, 14, 57, 25, 17, 72, 26, 27, 42, 21, 67, 32, 56, 63, 24, 50, 7, 6, 54, 55, 45, 51, 33, 36, 74, 9, 34, 15, 60, 4]","[[26, 67], [12, 31, 39, 9, 40], [17, 51, 2, 62, 73, 22, 61, 28], [34, 46], [30, 48, 15, 57, 13, 54, 19, 8], [75, 74, 21, 36, 69, 71, 60, 47], [65, 38, 10], [33, 63, 43, 41, 42, 64, 1], [11, 66, 59, 14, 35], [7, 58, 72, 53, 37, 70, 20, 5], [49, 56, 23, 24, 3, 44], [32, 18, 55, 25, 50, 16, 6, 68], [4, 29, 45, 27, 52]]"
"[34, 54, 32, 66, 52, 16, 18, 38, 6, 46, 68, 72, 20, 67, 31, 61, 62, 60, 23, 58, 36, 37, 47, 64, 71, 17, 43, 19, 41, 59, 35, 2, 73, 57, 1, 11, 63, 50, 28, 7, 49, 24, 33, 39, 8, 26, 75, 30, 40, 9, 27, 44, 4, 10, 29, 5, 69, 14, 13, 53, 48, 3, 45, 21, 51, 74, 65, 70, 22, 56, 55, 15, 42, 12, 25]","[[7, 53, 11, 66, 65], [50, 18, 25, 32], [75, 45, 48, 47, 30, 4], [43, 42, 64, 41, 1], [70, 37, 20, 60, 71, 36, 69, 21], [14, 59, 35, 34, 73, 62, 28], [44, 3, 16, 51], [33, 49, 24, 55, 31, 10, 72], [17, 12, 40, 9, 39], [38, 58, 26], [29, 5, 15, 57, 54, 19, 8, 46], [68, 6, 2, 74, 61, 22, 23, 56, 63], [52, 13, 27, 67]]"
"[53, 62, 63, 17, 60, 29, 4, 54, 46, 15, 38, 28, 27, 13, 19, 69, 35, 25, 65, 64, 36, 6, 50, 55, 1, 33, 23, 26, 2, 73, 68, 30, 67, 40, 47, 22, 51, 71, 43, 24, 12, 41, 16, 44, 7, 32, 3, 70, 56, 8, 75, 20, 9, 21, 39, 59, 58, 18, 57, 72, 52, 14, 34, 74, 37, 66, 49, 42, 61, 10, 11, 48, 31, 45, 5]","[[73, 62, 1, 33], [48, 29, 5, 15, 57, 65, 38], [46, 14, 59, 19, 8, 35, 7, 72], [47, 36, 37, 25, 55, 18, 24, 49], [26], [2, 30, 68, 75, 17, 40], [43, 42, 41, 56, 23, 63, 6], [51, 16, 44, 50, 32, 3], [70, 71, 69, 60, 20], [9, 31, 39, 10, 58, 12], [54, 13, 52, 27, 45], [74, 21, 28, 64, 22, 61], [53, 11, 66], [67, 34, 4]]"
"[17, 69, 19, 30, 46, 61, 41, 54, 33, 24, 26, 2, 14, 55, 34, 4, 58, 9, 66, 39, 71, 36, 16, 27, 73, 48, 38, 67, 13, 15, 11, 18, 22, 31, 57, 52, 70, 6, 74, 60, 25, 51, 53, 10, 59, 3, 5, 47, 64, 29, 32, 50, 65, 56, 44, 62, 37, 7, 72, 63, 75, 43, 20, 42, 23, 49, 1, 21, 40, 35, 28, 12, 45, 68, 8]","[[68, 74, 48, 21, 28, 61, 62, 73], [33, 1, 63], [53, 14, 59, 19, 67], [65, 38, 66, 11], [5, 37, 20, 57, 54, 46], [4, 45, 27, 52, 8, 35, 7], [30, 36, 60, 70, 71, 69, 47], [40, 32, 50, 25, 55, 18], [34, 13, 15, 29, 31, 39, 9], [56, 43, 49, 24, 44, 3, 51], [2, 22, 64, 42, 41, 23, 16, 6], [26, 58, 10, 72, 12, 17, 75]]"
"[2, 38, 14, 11, 55, 36, 3, 42, 33, 16, 20, 17, 66, 6, 7, 50, 72, 9, 48, 29, 59, 10, 18, 73, 52, 70, 22, 40, 51, 19, 64, 71, 53, 44, 32, 67, 15, 46, 68, 49, 8, 35, 60, 23, 61, 34, 41, 28, 47, 26, 58, 45, 65, 5, 24, 30, 25, 31, 37, 43, 13, 74, 1, 62, 39, 21, 69, 12, 54, 57, 75, 4, 27, 63, 56]","[[19, 59, 14, 11, 53], [23, 56, 42, 41, 64, 22], [63, 33, 16], [32, 50, 55, 25], [9, 39, 31, 10, 72, 40], [8, 35, 7, 12, 17], [3, 49, 24, 18, 44, 51], [67, 46, 52, 27, 45], [20, 70, 60, 71, 36, 47], [43, 1, 73], [58, 38, 66, 65, 54, 29, 48], [75, 26], [74, 21, 69, 61, 28, 62, 2], [30, 4], [34, 13, 57, 15, 37, 5], [6, 68]]"
"[46, 49, 54, 66, 24, 63, 67, 11, 44, 58, 45, 22, 74, 73, 7, 23, 53, 3, 71, 18, 2, 68, 6, 12, 26, 39, 10, 34, 40, 57, 42, 69, 60, 35, 31, 47, 33, 59, 5, 37, 70, 72, 41, 9, 61, 28, 17, 51, 62, 14, 13, 27, 1, 32, 21, 55, 52, 29, 20, 25, 15, 43, 75, 16, 50, 56, 64, 8, 65, 36, 38, 19, 48, 30, 4]","[[12, 38, 58, 10, 31, 17], [53, 11, 66, 65], [48, 21, 74, 28], [16, 3, 49, 24, 55, 18, 50, 44, 51], [40, 72, 39, 9, 25, 32], [62, 61, 69, 60, 70, 14, 59, 54], [47, 37, 71, 36], [1, 64, 22, 42, 43, 73, 2, 68], [46, 8, 19, 35, 7, 26], [52, 27, 29, 5, 20, 15, 57, 13], [63, 23, 56, 41, 33, 6, 75], [67, 34, 45, 30, 4]]"
"[20, 3, 31, 17, 69, 35, 7, 19, 59, 40, 10, 9, 75, 26, 12, 72, 2, 57, 41, 54, 5, 14, 8, 67, 49, 27, 42, 70, 22, 4, 60, 73, 46, 63, 21, 47, 28, 58, 16, 6, 52, 48, 71, 33, 53, 18, 37, 50, 74, 56, 55, 45, 13, 65, 44, 66, 24, 38, 23, 34, 64, 25, 36, 15, 61, 68, 32, 43, 51, 62, 1, 29, 39, 30, 11]","[[75], [58, 10, 38, 65, 35, 8, 19, 54], [72, 31, 9, 39], [26, 12, 17, 52, 13, 27], [53, 11, 14, 7, 67], [43, 41, 42, 64, 22, 70, 60, 71, 20], [74, 21, 47, 48], [51, 16, 63, 33, 73, 2, 68], [55, 18, 25, 50, 24, 49, 3], [45, 57, 15, 59, 66], [40, 44, 32], [29, 5, 37, 36, 69, 61, 28], [6, 56, 23, 1, 62, 30, 4], [34, 46]]"
"[66, 9, 44, 55, 42, 18, 75, 4, 57, 16, 7, 49, 26, 24, 8, 65, 25, 3, 5, 52, 74, 47, 61, 46, 60, 38, 12, 2, 69, 50, 29, 73, 40, 53, 10, 63, 58, 6, 23, 51, 31, 68, 36, 14, 59, 34, 13, 64, 72, 71, 27, 70, 22, 28, 37, 67, 32, 17, 20, 45, 33, 39, 21, 30, 41, 1, 35, 11, 54, 56, 48, 15, 43, 62, 19]","[[40, 9, 31, 55, 25, 32], [67, 46, 34, 75], [16, 49, 56, 23], [39, 72, 44, 3, 51, 74, 48, 47, 30], [26, 7, 53, 35, 52, 45, 4], [29, 5, 27, 38, 10, 58, 12], [17, 24, 18, 50], [15, 57, 14, 59, 54, 13, 19, 8], [71, 60, 70, 69, 36, 37, 20], [68, 63, 1, 73, 33, 6], [21, 61, 28, 2], [65, 11, 66], [62, 22, 42, 43, 41, 64]]"
