iteracion,tiempo_us,coste,operador,instancia,ruta_actual,conSplit
0,0,2599,2-opt,CMT2.vrp,"[[1, 58, 18, 36, 73, 27, 49, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
1,1774,2598,2-opt,CMT2.vrp,"[[58, 1, 18, 36, 73, 27, 49, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
2,1801,2578,2-opt,CMT2.vrp,"[[18, 58, 1, 36, 73, 27, 49, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
3,1814,2565,2-opt,CMT2.vrp,"[[27, 73, 36, 18, 58, 1, 49, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
4,1829,2562,2-opt,CMT2.vrp,"[[1, 73, 36, 18, 58, 27, 49, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
5,1844,2552,2-opt,CMT2.vrp,"[[1, 58, 18, 49, 27, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
6,1861,2552,2-opt,CMT2.vrp,"[[58, 1, 18, 49, 27, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
7,1872,2547,2-opt,CMT2.vrp,"[[49, 18, 58, 1, 27, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
8,1883,2518,2-opt,CMT2.vrp,"[[27, 49, 18, 58, 1, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
9,1895,2516,2-opt,CMT2.vrp,"[[1, 49, 18, 58, 27, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
10,1916,2515,2-opt,CMT2.vrp,"[[58, 18, 49, 1, 27, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
11,1928,2482,2-opt,CMT2.vrp,"[[27, 58, 18, 49, 1, 73, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
12,1952,2480,2-opt,CMT2.vrp,"[[73, 1, 49, 18, 58, 27, 36, 22, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
13,1971,2476,2-opt,CMT2.vrp,"[[27, 58, 18, 49, 1, 22, 36, 73, 33], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
14,1982,2472,2-opt,CMT2.vrp,"[[27, 58, 18, 49, 1, 73, 33, 22, 36], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
15,1995,2472,2-opt,CMT2.vrp,"[[36, 22, 33, 73, 1, 49, 18, 58, 27], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
16,2008,2453,2-opt,CMT2.vrp,"[[27, 36, 22, 33, 73, 1, 49, 18, 58], [40, 45, 56, 55, 10, 51], [50, 53, 74, 28, 37, 75, 60], [17, 30, 70, 71, 66, 25, 42, 68, 63], [19, 29, 67, 24, 8, 54, 16], [44, 7, 62, 38, 34, 59, 35], [9, 64, 3, 4, 14], [32, 47, 41, 61, 20, 6, 72], [11, 15, 69, 12, 39, 5, 26], [48, 31, 46, 21, 57, 65], [52, 13, 43, 23, 2]]",false
