iteracion,tiempo_us,coste,operador,instancia,ruta_actual,conSplit
0,0,6381,2-opt,CMT5.vrp,"[[21, 84, 107, 93, 8, 189, 166, 104, 59, 42, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
1,1409,6363,2-opt,CMT5.vrp,"[[107, 84, 21, 93, 8, 189, 166, 104, 59, 42, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
2,1667,6342,2-opt,CMT5.vrp,"[[189, 8, 93, 107, 84, 21, 166, 104, 59, 42, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
3,1931,6322,2-opt,CMT5.vrp,"[[21, 93, 107, 84, 8, 189, 166, 104, 59, 42, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
4,2214,6315,2-opt,CMT5.vrp,"[[21, 84, 107, 93, 42, 59, 104, 166, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
5,2475,6297,2-opt,CMT5.vrp,"[[107, 84, 21, 93, 42, 59, 104, 166, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
6,2571,6294,2-opt,CMT5.vrp,"[[42, 93, 107, 84, 21, 59, 104, 166, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
7,2692,6279,2-opt,CMT5.vrp,"[[104, 59, 42, 93, 107, 84, 21, 166, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
8,2852,6246,2-opt,CMT5.vrp,"[[21, 166, 104, 59, 42, 93, 107, 84, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
9,3182,6242,2-opt,CMT5.vrp,"[[166, 21, 104, 59, 42, 93, 107, 84, 189, 8, 167], [73, 144, 51, 123, 146, 5, 108, 130, 97, 50, 182], [30, 106, 185, 113, 11, 156, 23, 191, 89, 174, 183, 195, 159, 103], [54, 179, 157, 140, 148, 85, 92, 91, 33, 163, 165, 115, 53], [186, 139, 81, 56, 164, 20, 109, 39, 151, 17, 137, 173, 105], [141, 197, 122, 28, 116, 76, 64, 154, 58, 7, 188, 150, 101, 77, 128, 172], [37, 29, 184, 196, 136, 143, 170, 142, 127, 149, 98, 99], [10, 112, 90, 95, 102, 110, 57, 135, 66, 41, 45, 46], [74, 31, 52, 120, 168, 131, 190, 68, 61, 161, 49, 26, 134], [55, 35, 70, 12, 44, 160, 43, 83, 94, 198, 132, 88, 19], [2, 78, 9, 22, 126, 69, 169, 147, 124, 176], [138, 155, 193, 153, 13, 199, 16, 133, 38, 1], [180, 118, 111, 72, 75, 145, 86, 117, 114, 129, 34, 60], [40, 158, 152, 125, 119, 100, 32, 63, 15, 82], [162, 177, 36, 4, 62, 18, 65, 87, 47, 121, 71], [67, 25, 181, 194, 3, 80, 27, 171, 79, 192], [6, 178, 14, 187, 24, 96, 175, 48]]",false
