permutacion_inicial,ruta_final
"[38, 23, 26, 32, 18, 36, 3, 24, 7, 35, 9, 11, 34, 22, 31, 17, 29, 12, 45, 1, 13, 2, 5, 27, 37, 28, 25, 6, 42, 16, 49, 47, 15, 40, 20, 41, 14, 10, 46, 43, 19, 39, 33, 8, 48, 44, 21, 50, 30, 4]","[[48, 26, 7, 23, 6], [27, 8, 31, 28, 3, 36, 35, 20, 29, 11], [44, 15, 45, 33, 9, 16, 2, 22, 1], [43, 24, 14, 25, 13, 17, 37, 10, 49, 5], [18, 4, 47, 12, 46], [32, 38, 50, 21, 34, 30, 39, 42, 19, 40, 41]]"
"[38, 12, 21, 44, 43, 23, 22, 29, 1, 33, 3, 48, 34, 35, 13, 28, 5, 25, 11, 46, 10, 32, 8, 18, 9, 27, 15, 31, 41, 50, 16, 4, 2, 47, 17, 19, 39, 49, 40, 30, 45, 24, 36, 14, 37, 6, 26, 42, 7, 20]","[[46, 12, 44, 17], [32, 2, 29, 20, 35, 36, 3, 28, 22, 1], [18, 41, 13, 25], [38, 11, 27, 23, 43, 24, 14, 6], [15, 45, 33, 34, 21, 50, 16], [47, 4, 19, 40, 42, 37, 10, 39, 30, 9, 49, 5], [8, 31, 26, 7, 48]]"
"[50, 14, 33, 11, 30, 31, 36, 1, 10, 29, 46, 35, 12, 9, 15, 41, 20, 17, 47, 3, 23, 8, 34, 5, 38, 43, 24, 28, 32, 16, 45, 2, 27, 4, 48, 13, 18, 37, 39, 40, 19, 49, 42, 7, 26, 44, 25, 6, 21, 22]","[[5, 10, 33, 39, 30, 34, 21, 36, 35, 29, 16], [38, 50, 9, 49, 44, 41, 17, 47], [1, 8, 31, 22, 32, 46], [11, 2, 20, 3, 28, 26, 7, 6], [18, 4, 13, 40, 19, 42, 45, 15, 37, 12], [14, 25, 24, 43, 23, 48, 27]]"
"[28, 29, 11, 19, 48, 24, 4, 27, 35, 40, 36, 39, 12, 8, 47, 5, 34, 2, 45, 21, 22, 38, 46, 20, 31, 43, 41, 25, 23, 30, 7, 26, 49, 17, 44, 15, 16, 18, 50, 37, 6, 33, 1, 14, 32, 3, 42, 13, 10, 9]","[[2, 29, 20, 35, 36, 3, 28, 31, 22, 1], [49, 39, 10, 12], [11, 16, 50, 21, 34, 30, 9, 38, 46], [14, 25, 24, 43, 26, 8], [48, 7, 23, 6, 17, 44, 15, 37], [18, 13, 4, 47], [27, 32, 5, 33, 45, 42, 19, 40, 41]]"
"[5, 49, 42, 35, 12, 4, 29, 32, 3, 38, 27, 25, 8, 20, 46, 39, 33, 43, 10, 31, 2, 47, 9, 26, 16, 34, 36, 45, 19, 17, 21, 7, 23, 22, 13, 15, 30, 24, 44, 37, 1, 18, 14, 41, 40, 6, 28, 48, 11, 50]","[[47, 12, 5, 50, 29, 35, 36, 2, 1, 46], [22, 28, 3, 20, 21, 39, 33, 45], [31, 26, 8, 27], [38, 9, 49, 15, 37, 17, 14, 24, 43, 7, 23, 48], [4, 42, 44, 10, 30, 34, 16], [18, 41, 19, 40, 13, 25, 6], [11, 32]]"
"[27, 38, 50, 44, 3, 15, 13, 49, 32, 11, 16, 30, 25, 37, 18, 46, 40, 17, 42, 28, 48, 6, 35, 41, 33, 4, 2, 39, 31, 43, 8, 1, 45, 23, 19, 24, 7, 20, 5, 22, 47, 10, 34, 12, 9, 14, 29, 36, 26, 21]","[[6, 18, 47, 46], [15, 45, 33, 39, 10, 49, 11, 32], [12, 37, 44, 42, 40, 19, 17], [27, 48, 14, 25, 13, 41, 4], [31, 28, 3, 22, 2, 38, 5], [23, 24, 43, 7, 26, 8, 1], [9, 30, 34, 50, 21, 35, 36, 20, 29, 16]]"
"[17, 10, 12, 30, 2, 21, 20, 9, 14, 43, 46, 37, 27, 1, 44, 33, 41, 7, 28, 13, 24, 4, 25, 49, 39, 50, 16, 45, 40, 29, 15, 18, 32, 6, 48, 5, 22, 8, 34, 31, 19, 26, 11, 38, 3, 42, 23, 47, 36, 35]","[[49, 10, 39, 30, 34, 21, 16, 11], [6, 14, 25, 18], [48, 23, 7, 43, 24, 47, 12], [13, 41, 40, 19], [38, 50, 9, 33, 45, 15, 44, 42, 4], [46, 1, 22, 28, 31, 26, 8, 27], [32, 2, 20, 3, 36, 35, 29, 5, 37, 17]]"
"[16, 50, 33, 8, 43, 37, 15, 6, 25, 41, 39, 49, 28, 40, 20, 29, 48, 26, 7, 22, 21, 30, 9, 36, 1, 38, 27, 2, 45, 10, 18, 13, 31, 46, 34, 14, 5, 35, 19, 3, 4, 32, 24, 23, 47, 17, 42, 44, 11, 12]","[[9, 30, 34, 21, 29, 1, 27], [5, 49, 39, 10, 47, 6], [17, 4, 14, 23, 26, 31, 28, 22, 16, 50, 38, 11, 46], [15, 33, 45, 19, 41, 13, 18], [32, 2, 20, 35, 36, 3, 8], [48, 7, 43, 24, 25, 40, 42, 44, 37, 12]]"
"[16, 25, 28, 22, 18, 44, 15, 10, 33, 23, 31, 40, 24, 1, 26, 42, 19, 35, 50, 27, 11, 34, 21, 47, 12, 37, 36, 4, 30, 39, 29, 43, 45, 2, 32, 3, 41, 17, 48, 13, 6, 20, 9, 5, 14, 46, 38, 8, 7, 49]","[[1, 31, 28, 22, 33, 45, 15, 44, 37], [23, 7, 43, 24, 13, 41], [19, 40, 42, 34, 21, 50, 16, 2], [47, 17, 4, 18], [9, 49, 10, 39, 30, 29, 35, 36, 3, 20, 32], [25, 14, 6, 11, 38, 5, 12], [46, 27, 8, 26, 48]]"
"[21, 10, 20, 23, 17, 4, 44, 40, 2, 5, 41, 7, 8, 16, 34, 14, 12, 30, 37, 15, 24, 45, 38, 36, 32, 29, 27, 46, 43, 11, 19, 33, 47, 35, 6, 13, 18, 49, 48, 42, 50, 39, 26, 22, 25, 28, 1, 9, 31, 3]","[[36, 35, 20, 2, 37, 44, 42, 4, 17, 12], [27, 48, 1, 32, 46], [38, 49, 39, 33, 45, 15], [11, 9, 50, 16, 22, 23, 7, 43, 24, 40, 19, 47], [18, 41, 13, 25, 14, 6], [5, 10, 30, 34, 21, 29, 3, 28, 31, 26, 8]]"
