permutacion_inicial,ruta_final
"[50, 76, 14, 42, 29, 16, 66, 49, 34, 55, 57, 65, 15, 62, 48, 54, 13, 1, 3, 92, 88, 10, 79, 22, 59, 11, 8, 17, 40, 90, 94, 19, 30, 12, 70, 75, 45, 18, 96, 68, 53, 98, 21, 83, 46, 100, 93, 51, 74, 20, 28, 95, 39, 77, 71, 56, 37, 6, 97, 31, 7, 69, 47, 85, 87, 27, 35, 44, 9, 61, 23, 78, 43, 24, 64, 26, 73, 60, 2, 36, 52, 82, 5, 41, 86, 25, 63, 32, 58, 33, 99, 89, 91, 38, 84, 72, 81, 80, 67, 4]","[[50, 76, 29, 34, 66, 49, 16, 14, 42, 57, 55], [15, 54, 65, 62, 48, 13], [22, 3, 79, 1, 10, 11, 88, 8, 17, 59, 92, 40], [75, 96, 94, 45, 18, 19, 90, 70, 30, 12], [98, 100, 93, 83, 46, 20, 51, 68, 21, 74, 53, 28], [95, 77, 71, 39, 56, 97, 37, 6], [27, 35, 69, 31, 7, 47, 85, 87], [61, 44, 43, 23, 24, 9, 78, 64], [26, 25, 73, 41, 2, 86, 60, 5, 52, 82, 36, 63, 32], [91, 38, 84, 99, 89, 33, 81, 80, 67, 4, 72, 58]]"
"[13, 44, 82, 36, 9, 7, 85, 40, 72, 89, 50, 68, 81, 1, 10, 27, 92, 51, 73, 47, 49, 63, 98, 56, 65, 77, 30, 54, 94, 5, 70, 22, 14, 19, 88, 97, 17, 55, 29, 26, 64, 21, 43, 35, 76, 83, 71, 62, 12, 74, 32, 75, 41, 15, 91, 6, 34, 60, 33, 23, 59, 37, 18, 31, 16, 57, 39, 3, 79, 80, 84, 46, 4, 61, 53, 67, 90, 45, 11, 20, 100, 96, 28, 78, 38, 66, 52, 93, 24, 99, 48, 58, 69, 8, 42, 86, 95, 2, 87, 25]","[[40, 72, 13, 44, 85, 89, 36, 82, 7, 9], [68, 81, 50, 1, 10, 27, 92], [47, 49, 63, 30, 65, 51, 77, 54, 56, 73, 98], [17, 5, 14, 97, 94, 26, 22, 55, 29, 70, 64, 19, 88], [83, 62, 32, 71, 35, 76, 12, 21, 75, 74, 41, 43, 15, 91, 6], [23, 59, 37, 60, 18, 31, 34, 33], [16, 57, 39, 80, 3, 79], [4, 67, 20, 90, 11, 45, 46, 84, 100, 61, 96, 53], [52, 28, 24, 78, 66, 48, 38, 93, 99, 58], [69, 8, 86, 42, 95, 87, 2, 25]]"
"[69, 55, 50, 4, 39, 1, 80, 79, 37, 84, 21, 7, 76, 65, 66, 82, 72, 63, 97, 19, 44, 36, 17, 91, 71, 10, 33, 12, 40, 11, 43, 61, 32, 16, 81, 24, 67, 51, 62, 94, 68, 93, 38, 54, 25, 70, 20, 56, 6, 23, 42, 85, 95, 57, 92, 48, 96, 46, 13, 75, 8, 100, 53, 64, 34, 26, 18, 90, 98, 86, 59, 22, 28, 35, 73, 58, 41, 74, 3, 49, 31, 87, 45, 14, 47, 30, 89, 15, 29, 60, 27, 77, 78, 99, 9, 5, 83, 2, 52, 88]","[[37, 84, 21, 4, 39, 55, 80, 79, 50, 69, 1], [7, 76, 65, 66, 63, 19, 36, 82, 17, 44, 91, 72, 97], [10, 33, 71, 12, 40], [94, 43, 16, 61, 11, 62, 32, 81, 51, 24, 67], [70, 20, 68, 54, 25, 56, 93, 38], [6, 13, 95, 75, 23, 57, 42, 92, 96, 85, 46, 48], [90, 64, 34, 26, 53, 22, 98, 59, 100, 86, 8, 18], [41, 74, 73, 58, 28, 49, 31, 35, 3], [27, 89, 14, 15, 87, 60, 45, 47, 30, 78, 29, 77], [99, 5, 83, 52, 88, 9, 2]]"
"[67, 13, 62, 95, 56, 72, 28, 58, 100, 30, 74, 17, 65, 64, 12, 46, 66, 21, 2, 79, 11, 63, 19, 10, 98, 33, 9, 18, 14, 39, 86, 15, 43, 37, 7, 36, 99, 97, 44, 78, 88, 53, 22, 61, 4, 24, 51, 23, 25, 3, 47, 90, 84, 50, 75, 96, 5, 83, 92, 71, 27, 68, 35, 49, 81, 1, 91, 73, 82, 16, 69, 77, 87, 93, 6, 94, 89, 60, 34, 55, 31, 26, 70, 57, 48, 80, 41, 29, 20, 52, 54, 76, 45, 32, 59, 40, 42, 85, 8, 38]","[[62, 30, 28, 58, 13, 95, 100, 72, 56, 67], [12, 79, 74, 21, 2, 17, 46, 19, 11, 64, 63, 66, 65, 10, 98], [18, 7, 36, 86, 44, 14, 37, 99, 97, 15, 43, 39, 33, 9], [53, 3, 78, 51, 90, 88, 47, 84, 61, 22, 23, 4, 25, 24], [50, 75, 96, 92, 5, 83], [27, 68, 81, 71, 35, 1, 49], [89, 6, 94, 73, 87, 16, 91, 93, 60, 82, 69, 77], [26, 57, 41, 55, 80, 29, 34, 20, 70, 31, 48, 52], [40, 42, 38, 59, 85, 45, 8, 32, 54, 76]]"
"[85, 50, 67, 39, 98, 83, 47, 7, 61, 70, 99, 58, 74, 95, 93, 49, 87, 78, 28, 27, 97, 36, 20, 13, 5, 26, 56, 22, 48, 60, 16, 90, 91, 10, 75, 71, 68, 62, 6, 31, 15, 18, 45, 42, 4, 92, 9, 29, 43, 30, 80, 24, 82, 79, 81, 51, 84, 33, 14, 65, 52, 53, 19, 46, 35, 37, 69, 77, 12, 1, 21, 63, 100, 94, 11, 44, 55, 59, 72, 40, 3, 96, 54, 8, 34, 73, 86, 66, 88, 57, 17, 25, 41, 23, 38, 2, 76, 89, 32, 64]","[[98, 85, 61, 83, 47, 7, 70, 50, 67, 39], [27, 58, 74, 87, 97, 95, 99, 93, 49, 36, 20, 78, 28], [26, 56, 22, 13, 16, 91, 60, 5, 48, 10, 90], [6, 18, 45, 31, 62, 71, 68, 4, 75, 15, 42, 92], [80, 24, 29, 79, 33, 81, 9, 51, 30, 82, 84, 43, 14], [53, 52, 19, 46, 37, 69, 1, 35, 65, 77, 12, 21], [44, 100, 59, 96, 94, 63, 11, 3, 55, 54, 72, 40], [8, 88, 34, 66, 25, 23, 73, 41, 57, 17, 86, 38, 2, 76], [32, 64, 89]]"
"[13, 27, 56, 93, 78, 30, 37, 41, 92, 44, 48, 51, 64, 17, 72, 61, 46, 80, 22, 45, 81, 91, 97, 19, 98, 53, 5, 70, 39, 94, 74, 23, 1, 21, 38, 71, 34, 18, 67, 12, 77, 2, 76, 29, 52, 6, 24, 4, 10, 25, 89, 31, 85, 28, 54, 58, 14, 9, 60, 20, 95, 42, 66, 32, 88, 96, 65, 33, 8, 90, 68, 55, 79, 73, 36, 82, 62, 43, 3, 83, 47, 40, 7, 59, 69, 11, 15, 87, 99, 100, 16, 50, 26, 63, 57, 49, 84, 35, 86, 75]","[[27, 56, 13, 93], [92, 41, 72, 51, 78, 30, 64, 46, 48, 17, 44, 61, 37], [80, 81, 22, 97, 98, 91, 45, 19, 53], [1, 70, 74, 23, 39, 21, 38, 5, 94], [6, 18, 52, 10, 71, 34, 29, 24, 67, 25, 4, 12, 77, 76, 2], [31, 28, 54, 58, 14, 85, 89], [20, 9, 60, 95, 42], [96, 8, 88, 90, 32, 65, 66, 33, 79, 68, 55, 73], [40, 43, 83, 82, 47, 36, 62, 3], [69, 11, 7, 59, 99, 100, 16, 15, 87], [50, 35, 63, 49, 84, 86, 57, 75, 26]]"
"[92, 11, 14, 1, 100, 2, 49, 94, 71, 62, 19, 87, 38, 54, 18, 69, 82, 30, 95, 59, 61, 24, 80, 5, 85, 39, 45, 20, 27, 47, 9, 77, 99, 74, 81, 97, 84, 65, 34, 48, 91, 90, 10, 31, 98, 57, 60, 37, 17, 83, 70, 55, 12, 51, 73, 89, 72, 28, 58, 4, 86, 68, 52, 44, 16, 26, 75, 41, 50, 13, 78, 63, 56, 40, 23, 43, 3, 22, 42, 79, 15, 36, 29, 8, 32, 7, 96, 76, 21, 33, 67, 53, 6, 35, 93, 66, 46, 64, 88, 25]","[[94, 2, 14, 100, 92, 11, 49, 1], [71, 62, 19, 87, 38, 54], [95, 59, 61, 18, 82, 30, 69, 24, 80], [47, 45, 5, 85, 20, 9, 77, 39, 27], [48, 84, 99, 91, 97, 74, 34, 81, 65, 90, 10, 31], [73, 57, 98, 37, 17, 83, 60, 89, 70, 51, 55, 12], [28, 72, 4, 58, 86], [68, 50, 26, 75, 41, 44, 16, 13, 52], [40, 23, 56, 22, 43, 15, 42, 8, 36, 7, 63, 32, 78, 29, 79, 3, 96], [53, 93, 6, 46, 64, 88, 35, 66, 33, 76, 67, 25, 21]]"
"[30, 3, 25, 66, 19, 68, 4, 57, 13, 59, 7, 42, 76, 67, 93, 97, 73, 27, 40, 9, 16, 45, 60, 51, 98, 61, 99, 70, 21, 81, 91, 52, 6, 86, 8, 82, 44, 26, 43, 18, 78, 12, 29, 48, 64, 20, 50, 72, 58, 10, 90, 33, 47, 94, 35, 37, 65, 96, 89, 1, 38, 39, 23, 31, 11, 49, 77, 71, 79, 74, 92, 54, 5, 56, 28, 41, 85, 17, 53, 75, 2, 95, 14, 34, 32, 84, 88, 55, 62, 83, 80, 87, 36, 100, 69, 63, 15, 46, 24, 22]","[[59, 7, 19, 30, 66, 68, 3, 25, 4, 57, 13], [76, 67, 42, 93, 97, 73, 27], [40, 21, 81, 9, 51, 45, 60, 16, 61, 98, 99, 70], [26, 43, 44, 91, 86, 8, 82, 18, 52, 6], [12, 29, 78, 48, 64, 20, 50, 72, 58], [33, 35, 10, 90, 47, 94], [89, 96, 38, 37, 39, 23, 65, 1], [31, 11, 49, 71, 79, 77, 54, 74, 92], [95, 17, 5, 85, 14, 41, 56, 75, 2, 53, 28], [69, 83, 84, 46, 36, 88, 62, 63, 32, 34, 80, 24, 55, 22, 15, 100, 87]]"
"[2, 35, 61, 14, 51, 49, 90, 62, 45, 5, 73, 72, 100, 30, 19, 34, 83, 28, 46, 40, 70, 26, 75, 68, 1, 7, 24, 86, 37, 15, 22, 92, 27, 6, 74, 66, 79, 25, 59, 60, 57, 43, 12, 96, 77, 8, 89, 21, 52, 47, 71, 3, 56, 32, 38, 82, 4, 55, 91, 76, 99, 48, 11, 53, 16, 44, 65, 67, 10, 18, 50, 13, 87, 42, 9, 31, 63, 29, 78, 93, 54, 80, 84, 39, 64, 17, 98, 88, 23, 36, 20, 81, 33, 97, 69, 95, 58, 41, 94, 85]","[[61, 14, 2, 35], [51, 90, 62, 49, 45, 5, 100, 73, 72], [34, 30, 19, 83], [28, 26, 40, 15, 22, 75, 68, 24, 1, 70, 7, 46, 86, 37, 92], [27, 60, 6, 96, 59, 57, 43, 74, 25, 12, 66, 79], [52, 82, 8, 47, 71, 32, 3, 77, 21, 56, 38, 89], [76, 4, 55, 99, 91, 48, 11], [53, 16, 44, 18, 10, 65, 50, 67], [13, 87, 42, 29, 78, 9, 31, 63], [93, 23, 39, 54, 80, 98, 84, 17, 36, 88, 64, 20, 81, 33], [58, 41, 85, 97, 95, 94, 69]]"
"[7, 18, 32, 38, 75, 62, 37, 11, 27, 91, 16, 9, 2, 45, 78, 69, 51, 26, 80, 48, 93, 100, 65, 28, 70, 87, 42, 84, 96, 22, 57, 40, 49, 94, 17, 20, 29, 46, 88, 79, 50, 61, 31, 19, 5, 23, 54, 25, 58, 59, 71, 14, 39, 95, 90, 89, 10, 82, 44, 55, 34, 3, 53, 63, 41, 76, 99, 4, 77, 21, 74, 15, 52, 60, 97, 24, 12, 6, 8, 86, 73, 98, 13, 30, 47, 33, 64, 83, 36, 81, 1, 56, 67, 35, 85, 92, 72, 43, 66, 68]","[[32, 62, 11, 7, 18, 27, 37, 91, 16, 38, 75], [69, 51, 9, 78, 26, 80, 2, 93, 100, 45, 48], [70, 65, 28, 22, 57, 87, 42, 84, 96, 40], [94, 17, 49, 46, 88, 20, 29, 79, 50], [58, 59, 61, 5, 23, 54, 25, 71, 31, 19], [89, 10, 63, 90, 82, 44, 14, 95, 53, 39, 55, 34, 3], [52, 76, 12, 77, 24, 4, 21, 74, 41, 15, 97, 60, 99], [6, 8, 86, 98, 13, 73], [30, 64, 36, 47, 83, 1, 33, 81, 35, 56, 67], [66, 68, 72, 43, 85, 92]]"
