permutacion_inicial,ruta_final
"[50, 76, 14, 42, 29, 16, 66, 49, 34, 55, 57, 65, 15, 62, 48, 54, 13, 1, 3, 92, 88, 10, 79, 22, 59, 11, 8, 17, 40, 90, 94, 19, 30, 12, 70, 75, 45, 18, 96, 68, 53, 98, 21, 83, 46, 100, 93, 51, 74, 20, 28, 95, 39, 77, 71, 56, 37, 6, 97, 31, 7, 69, 47, 85, 87, 27, 35, 44, 9, 61, 23, 78, 43, 24, 64, 26, 73, 60, 2, 36, 52, 82, 5, 41, 86, 25, 63, 32, 58, 33, 99, 89, 91, 38, 84, 72, 81, 80, 67, 4]","[[57, 42, 14, 16, 49, 66, 34, 29, 55, 76, 50], [13, 15, 54, 65, 62, 48], [3, 79, 1, 10, 11, 88, 8, 17, 59, 92, 22, 40], [70, 30, 90, 19, 45, 18, 96, 94, 75, 12], [53, 28, 20, 51, 68, 21, 74, 100, 98, 93, 83, 46], [6, 95, 37, 97, 56, 39, 77, 71], [27, 69, 35, 31, 7, 47, 85, 87], [61, 44, 43, 23, 24, 78, 9, 64], [32, 63, 36, 82, 52, 60, 5, 86, 2, 41, 73, 25, 26], [89, 84, 38, 91, 99, 58, 72, 67, 4, 80, 81, 33]]"
"[13, 44, 82, 36, 9, 7, 85, 40, 72, 89, 50, 68, 81, 1, 10, 27, 92, 51, 73, 47, 49, 63, 98, 56, 65, 77, 30, 54, 94, 5, 70, 22, 14, 19, 88, 97, 17, 55, 29, 26, 64, 21, 43, 35, 76, 83, 71, 62, 12, 74, 32, 75, 41, 15, 91, 6, 34, 60, 33, 23, 59, 37, 18, 31, 16, 57, 39, 3, 79, 80, 84, 46, 4, 61, 53, 67, 90, 45, 11, 20, 100, 96, 28, 78, 38, 66, 52, 93, 24, 99, 48, 58, 69, 8, 42, 86, 95, 2, 87, 25]","[[13, 85, 44, 72, 40, 9, 36, 82, 7, 89], [50, 68, 81, 1, 10, 27, 92], [54, 56, 73, 98, 47, 49, 63, 30, 65, 51, 77], [94, 97, 5, 17, 14, 22, 55, 29, 26, 70, 64, 19, 88], [12, 76, 35, 71, 32, 62, 83, 91, 43, 15, 41, 75, 74, 21, 6], [31, 33, 34, 23, 37, 59, 60, 18], [16, 57, 39, 80, 79, 3], [53, 4, 67, 20, 90, 11, 46, 45, 84, 61, 100, 96], [28, 24, 78, 66, 48, 52, 99, 93, 38, 58], [69, 8, 86, 42, 95, 87, 2, 25]]"
"[69, 55, 50, 4, 39, 1, 80, 79, 37, 84, 21, 7, 76, 65, 66, 82, 72, 63, 97, 19, 44, 36, 17, 91, 71, 10, 33, 12, 40, 11, 43, 61, 32, 16, 81, 24, 67, 51, 62, 94, 68, 93, 38, 54, 25, 70, 20, 56, 6, 23, 42, 85, 95, 57, 92, 48, 96, 46, 13, 75, 8, 100, 53, 64, 34, 26, 18, 90, 98, 86, 59, 22, 28, 35, 73, 58, 41, 74, 3, 49, 31, 87, 45, 14, 47, 30, 89, 15, 29, 60, 27, 77, 78, 99, 9, 5, 83, 2, 52, 88]","[[69, 1, 50, 79, 80, 55, 39, 4, 21, 37, 84], [7, 82, 36, 19, 63, 66, 65, 76, 72, 97, 91, 44, 17], [10, 71, 33, 12, 40], [62, 11, 32, 51, 81, 24, 67, 43, 16, 61, 94], [93, 38, 56, 25, 54, 68, 20, 70], [13, 95, 96, 6, 48, 46, 85, 92, 42, 57, 23, 75], [26, 34, 90, 64, 8, 18, 59, 98, 86, 100, 22, 53], [28, 31, 49, 35, 3, 73, 74, 41, 58], [89, 60, 87, 15, 14, 45, 47, 30, 78, 29, 77, 27], [9, 88, 52, 83, 5, 99, 2]]"
"[67, 13, 62, 95, 56, 72, 28, 58, 100, 30, 74, 17, 65, 64, 12, 46, 66, 21, 2, 79, 11, 63, 19, 10, 98, 33, 9, 18, 14, 39, 86, 15, 43, 37, 7, 36, 99, 97, 44, 78, 88, 53, 22, 61, 4, 24, 51, 23, 25, 3, 47, 90, 84, 50, 75, 96, 5, 83, 92, 71, 27, 68, 35, 49, 81, 1, 91, 73, 82, 16, 69, 77, 87, 93, 6, 94, 89, 60, 34, 55, 31, 26, 70, 57, 48, 80, 41, 29, 20, 52, 54, 76, 45, 32, 59, 40, 42, 85, 8, 38]","[[28, 67, 56, 72, 58, 13, 95, 100, 62, 30], [2, 74, 21, 12, 79, 65, 66, 10, 63, 64, 11, 19, 46, 17, 98], [33, 9, 36, 7, 18, 99, 97, 37, 86, 44, 14, 43, 15, 39], [53, 51, 78, 3, 24, 25, 4, 23, 22, 61, 84, 47, 90, 88], [50, 75, 92, 96, 5, 83], [27, 49, 1, 81, 71, 35, 68], [69, 77, 73, 87, 91, 16, 93, 60, 82, 89, 6, 94], [52, 48, 31, 70, 20, 34, 29, 80, 55, 26, 41, 57], [59, 85, 42, 38, 45, 8, 32, 76, 54, 40]]"
"[85, 50, 67, 39, 98, 83, 47, 7, 61, 70, 99, 58, 74, 95, 93, 49, 87, 78, 28, 27, 97, 36, 20, 13, 5, 26, 56, 22, 48, 60, 16, 90, 91, 10, 75, 71, 68, 62, 6, 31, 15, 18, 45, 42, 4, 92, 9, 29, 43, 30, 80, 24, 82, 79, 81, 51, 84, 33, 14, 65, 52, 53, 19, 46, 35, 37, 69, 77, 12, 1, 21, 63, 100, 94, 11, 44, 55, 59, 72, 40, 3, 96, 54, 8, 34, 73, 86, 66, 88, 57, 17, 25, 41, 23, 38, 2, 76, 89, 32, 64]","[[70, 50, 39, 67, 98, 85, 61, 83, 47, 7], [58, 74, 87, 97, 95, 99, 93, 36, 49, 20, 78, 28, 27], [10, 90, 48, 60, 5, 16, 91, 13, 22, 56, 26], [31, 62, 71, 68, 4, 75, 15, 42, 92, 6, 45, 18], [80, 24, 29, 79, 33, 81, 9, 51, 30, 82, 84, 14, 43], [52, 37, 46, 19, 69, 1, 65, 35, 77, 12, 21, 53], [40, 72, 55, 54, 3, 63, 11, 96, 59, 44, 100, 94], [8, 17, 86, 38, 57, 2, 73, 41, 23, 25, 34, 66, 88, 76], [89, 64, 32]]"
"[13, 27, 56, 93, 78, 30, 37, 41, 92, 44, 48, 51, 64, 17, 72, 61, 46, 80, 22, 45, 81, 91, 97, 19, 98, 53, 5, 70, 39, 94, 74, 23, 1, 21, 38, 71, 34, 18, 67, 12, 77, 2, 76, 29, 52, 6, 24, 4, 10, 25, 89, 31, 85, 28, 54, 58, 14, 9, 60, 20, 95, 42, 66, 32, 88, 96, 65, 33, 8, 90, 68, 55, 79, 73, 36, 82, 62, 43, 3, 83, 47, 40, 7, 59, 69, 11, 15, 87, 99, 100, 16, 50, 26, 63, 57, 49, 84, 35, 86, 75]","[[56, 13, 93, 27], [78, 51, 30, 64, 48, 46, 17, 61, 44, 37, 92, 41, 72], [80, 81, 19, 45, 91, 98, 97, 22, 53], [5, 38, 94, 74, 23, 39, 21, 1, 70], [2, 67, 25, 4, 12, 76, 77, 24, 29, 34, 71, 10, 52, 18, 6], [28, 54, 58, 14, 85, 89, 31], [9, 20, 60, 42, 95], [73, 55, 68, 79, 33, 65, 66, 32, 90, 88, 8, 96], [40, 43, 83, 82, 47, 36, 62, 3], [69, 11, 7, 99, 59, 16, 100, 15, 87], [26, 75, 57, 86, 84, 49, 63, 35, 50]]"
"[92, 11, 14, 1, 100, 2, 49, 94, 71, 62, 19, 87, 38, 54, 18, 69, 82, 30, 95, 59, 61, 24, 80, 5, 85, 39, 45, 20, 27, 47, 9, 77, 99, 74, 81, 97, 84, 65, 34, 48, 91, 90, 10, 31, 98, 57, 60, 37, 17, 83, 70, 55, 12, 51, 73, 89, 72, 28, 58, 4, 86, 68, 52, 44, 16, 26, 75, 41, 50, 13, 78, 63, 56, 40, 23, 43, 3, 22, 42, 79, 15, 36, 29, 8, 32, 7, 96, 76, 21, 33, 67, 53, 6, 35, 93, 66, 46, 64, 88, 25]","[[2, 14, 100, 92, 94, 49, 11, 1], [87, 38, 19, 62, 71, 54], [95, 59, 61, 18, 82, 69, 30, 24, 80], [39, 77, 9, 20, 27, 47, 45, 5, 85], [74, 97, 99, 91, 84, 48, 31, 10, 90, 65, 34, 81], [70, 51, 12, 55, 73, 57, 37, 98, 17, 83, 60, 89], [28, 4, 72, 58, 86], [13, 16, 44, 41, 75, 26, 68, 50, 52], [7, 32, 63, 36, 8, 96, 42, 43, 15, 22, 23, 56, 29, 78, 79, 3, 40], [6, 93, 46, 88, 64, 66, 35, 33, 76, 25, 67, 21, 53]]"
"[30, 3, 25, 66, 19, 68, 4, 57, 13, 59, 7, 42, 76, 67, 93, 97, 73, 27, 40, 9, 16, 45, 60, 51, 98, 61, 99, 70, 21, 81, 91, 52, 6, 86, 8, 82, 44, 26, 43, 18, 78, 12, 29, 48, 64, 20, 50, 72, 58, 10, 90, 33, 47, 94, 35, 37, 65, 96, 89, 1, 38, 39, 23, 31, 11, 49, 77, 71, 79, 74, 92, 54, 5, 56, 28, 41, 85, 17, 53, 75, 2, 95, 14, 34, 32, 84, 88, 55, 62, 83, 80, 87, 36, 100, 69, 63, 15, 46, 24, 22]","[[13, 59, 57, 4, 25, 68, 3, 66, 30, 19, 7], [93, 97, 42, 73, 67, 76, 27], [40, 21, 81, 9, 51, 70, 60, 45, 61, 16, 98, 99], [26, 43, 91, 44, 86, 8, 82, 18, 52, 6], [48, 64, 20, 50, 78, 29, 12, 72, 58], [33, 35, 90, 10, 47, 94], [37, 38, 96, 89, 1, 65, 39, 23], [92, 74, 54, 77, 79, 71, 11, 49, 31], [28, 53, 56, 75, 41, 2, 95, 14, 85, 17, 5], [69, 88, 62, 32, 63, 36, 46, 83, 84, 100, 87, 15, 22, 55, 24, 34, 80]]"
"[2, 35, 61, 14, 51, 49, 90, 62, 45, 5, 73, 72, 100, 30, 19, 34, 83, 28, 46, 40, 70, 26, 75, 68, 1, 7, 24, 86, 37, 15, 22, 92, 27, 6, 74, 66, 79, 25, 59, 60, 57, 43, 12, 96, 77, 8, 89, 21, 52, 47, 71, 3, 56, 32, 38, 82, 4, 55, 91, 76, 99, 48, 11, 53, 16, 44, 65, 67, 10, 18, 50, 13, 87, 42, 9, 31, 63, 29, 78, 93, 54, 80, 84, 39, 64, 17, 98, 88, 23, 36, 20, 81, 33, 97, 69, 95, 58, 41, 94, 85]","[[61, 14, 2, 35], [51, 90, 62, 49, 45, 5, 100, 73, 72], [83, 19, 30, 34], [28, 24, 68, 1, 70, 7, 46, 86, 37, 92, 15, 22, 75, 40, 26], [27, 66, 79, 12, 25, 74, 57, 43, 59, 96, 60, 6], [77, 3, 71, 32, 52, 82, 47, 8, 38, 56, 21, 89], [99, 91, 48, 11, 76, 55, 4], [50, 65, 10, 18, 16, 44, 67, 53], [13, 87, 42, 29, 78, 9, 63, 31], [84, 17, 93, 98, 23, 39, 54, 80, 33, 81, 20, 64, 36, 88], [58, 41, 97, 85, 95, 94, 69]]"
"[7, 18, 32, 38, 75, 62, 37, 11, 27, 91, 16, 9, 2, 45, 78, 69, 51, 26, 80, 48, 93, 100, 65, 28, 70, 87, 42, 84, 96, 22, 57, 40, 49, 94, 17, 20, 29, 46, 88, 79, 50, 61, 31, 19, 5, 23, 54, 25, 58, 59, 71, 14, 39, 95, 90, 89, 10, 82, 44, 55, 34, 3, 53, 63, 41, 76, 99, 4, 77, 21, 74, 15, 52, 60, 97, 24, 12, 6, 8, 86, 73, 98, 13, 30, 47, 33, 64, 83, 36, 81, 1, 56, 67, 35, 85, 92, 72, 43, 66, 68]","[[75, 37, 91, 38, 16, 18, 7, 62, 11, 32, 27], [69, 51, 9, 78, 80, 26, 2, 100, 93, 45, 48], [28, 65, 70, 84, 96, 87, 42, 57, 22, 40], [50, 29, 79, 20, 88, 49, 46, 17, 94], [59, 61, 5, 19, 31, 71, 54, 25, 23, 58], [89, 95, 14, 44, 82, 10, 63, 90, 34, 3, 55, 39, 53], [52, 60, 99, 97, 15, 41, 74, 21, 4, 24, 12, 77, 76], [6, 8, 86, 98, 13, 73], [83, 47, 36, 64, 30, 1, 33, 81, 35, 67, 56], [66, 68, 72, 43, 85, 92]]"
